metric,base,mnrl_loss_15,mnrl_loss_30,mnrl_loss_5,tpl_loss+mnrl_loss_15,tpl_loss+mnrl_loss_30,tpl_loss+mnrl_loss_5,tpl_loss_15,tpl_loss_30,tpl_loss_5
accuracy@1,0.2614,0.2892,0.2761,0.2876,0.2908,0.281,0.3023,0.2484,0.2565,0.2631
accuracy@10,0.7908,0.8807,0.8725,0.8905,0.8922,0.8807,0.8938,0.8415,0.8399,0.8497
accuracy@3,0.6569,0.7761,0.7631,0.781,0.7663,0.7614,0.7794,0.701,0.7075,0.7239
accuracy@5,0.7141,0.8219,0.8088,0.8252,0.8154,0.8088,0.8317,0.7631,0.7729,0.7827
map@100,0.457,0.5178,0.507,0.5194,0.5162,0.5104,0.5257,0.4688,0.4759,0.4859
mrr@10,0.4506,0.5128,0.5017,0.5147,0.5119,0.5059,0.5215,0.4639,0.4704,0.4812
ndcg@10,0.5343,0.6044,0.594,0.6082,0.6059,0.599,0.6138,0.5571,0.5618,0.5726
precision@1,0.2614,0.2892,0.2761,0.2876,0.2908,0.281,0.3023,0.2484,0.2565,0.2631
precision@10,0.0791,0.0881,0.0873,0.0891,0.0892,0.0881,0.0894,0.0842,0.084,0.085
precision@3,0.219,0.2587,0.2544,0.2603,0.2554,0.2538,0.2598,0.2337,0.2358,0.2413
precision@5,0.1428,0.1644,0.1618,0.165,0.1631,0.1618,0.1663,0.1526,0.1546,0.1565
recall@1,0.2614,0.2892,0.2761,0.2876,0.2908,0.281,0.3023,0.2484,0.2565,0.2631
recall@10,0.7908,0.8807,0.8725,0.8905,0.8922,0.8807,0.8938,0.8415,0.8399,0.8497
recall@3,0.6569,0.7761,0.7631,0.781,0.7663,0.7614,0.7794,0.701,0.7075,0.7239
recall@5,0.7141,0.8219,0.8088,0.8252,0.8154,0.8088,0.8317,0.7631,0.7729,0.7827
